"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"1","01000",2,518,55,0,2024,1,"",1,11,11,12,247192,0,0,1678,"",3.7,0.81,0.8,0.87,1.02,0,0,1.23,"",0,0,1,10,3,37.5,2,20,-40182,-14,0,0,0,0,-690,-29.1
"2","01000",5,518,55,0,2024,1,"",1406,3738,3734,3742,97054033,29212005,199148,1997,"",1.92,0.57,0.57,0.57,0.38,0.43,0.58,0.66,"",146,11.6,190,5.4,159,4.4,177,5,8124011,9.1,1154331,4.1,-89734,-31.1,77,4
"3","01001",5,518,75,0,2024,1,"",6,8,8,8,181196,54375,509,1742,"",1.18,0.21,0.21,0.21,0.15,0.16,0.27,0.7,"N",2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","01003",5,518,75,0,2024,1,"",58,93,84,89,1972063,723942,5611,1711,"",1.47,0.36,0.32,0.34,0.24,0.26,0.4,0.7,"",10,20.8,-20,-17.7,-17,-16.8,-11,-11,122041,6.6,-133763,-15.6,-942,-14.4,351,25.8
"5","01007",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","01009",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","01015",5,518,75,0,2024,1,"",9,24,27,27,543755,204132,2161,1609,"",0.69,0.17,0.2,0.2,0.12,0.17,0.37,0.62,"",1,12.5,1,4.3,5,22.7,6,28.6,334224,159.5,68618,50.6,-1915,-47,876,119.5
"8","01017",5,518,75,0,2024,1,"N",3,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",-1,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","01019",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","01021",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
